STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 1,Minimal,Dec-01-2018,48,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 1,Minimal,Dec-08-2018,49,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 2,Minimal,Dec-15-2018,50,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 2,Minimal,Dec-22-2018,51,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 3,Minimal,Dec-29-2018,52,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 3,Minimal,Jan-05-2019,1,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 1,Minimal,Jan-12-2019,2,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 4,Low,Jan-19-2019,3,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 10,High,Jan-26-2019,4,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 10,High,Feb-02-2019,5,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 10,High,Feb-09-2019,6,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 10,High,Feb-16-2019,7,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 10,High,Feb-23-2019,8,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 1,Minimal,Oct-06-2018,40,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 1,Minimal,Oct-13-2018,41,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 1,Minimal,Oct-20-2018,42,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 1,Minimal,Oct-27-2018,43,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 2,Minimal,Nov-03-2018,44,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 2,Minimal,Nov-10-2018,45,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 3,Minimal,Nov-17-2018,46,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 4,Low,Nov-24-2018,47,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 4,Low,Dec-01-2018,48,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 4,Low,Dec-08-2018,49,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 6,Moderate,Dec-15-2018,50,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 7,Moderate,Dec-22-2018,51,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 9,High,Dec-29-2018,52,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 8,High,Jan-05-2019,1,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 9,High,Jan-12-2019,2,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 6,Moderate,Jan-19-2019,3,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 6,Moderate,Jan-26-2019,4,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 7,Moderate,Feb-02-2019,5,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 6,Moderate,Feb-09-2019,6,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 5,Low,Feb-16-2019,7,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 8,High,Feb-23-2019,8,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 1,Minimal,Oct-06-2018,40,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 1,Minimal,Oct-13-2018,41,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 1,Minimal,Oct-20-2018,42,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 1,Minimal,Oct-27-2018,43,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 2,Minimal,Nov-03-2018,44,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 1,Minimal,Nov-10-2018,45,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 3,Minimal,Nov-17-2018,46,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 4,Low,Nov-24-2018,47,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 2,Minimal,Dec-01-2018,48,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 2,Minimal,Dec-08-2018,49,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 5,Low,Dec-15-2018,50,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 6,Moderate,Dec-22-2018,51,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 7,Moderate,Dec-29-2018,52,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 4,Low,Jan-05-2019,1,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 2,Minimal,Jan-12-2019,2,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 5,Low,Jan-19-2019,3,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 10,High,Jan-26-2019,4,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 10,High,Feb-02-2019,5,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 10,High,Feb-09-2019,6,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 10,High,Feb-16-2019,7,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 10,High,Feb-23-2019,8,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 1,Minimal,Oct-06-2018,40,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 1,Minimal,Oct-13-2018,41,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 1,Minimal,Oct-20-2018,42,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 1,Minimal,Oct-27-2018,43,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 1,Minimal,Nov-03-2018,44,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 1,Minimal,Nov-10-2018,45,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 2,Minimal,Nov-17-2018,46,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 2,Minimal,Nov-24-2018,47,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 3,Minimal,Dec-01-2018,48,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 3,Minimal,Dec-08-2018,49,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 4,Low,Dec-15-2018,50,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 5,Low,Dec-22-2018,51,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 6,Moderate,Dec-29-2018,52,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 6,Moderate,Jan-05-2019,1,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 5,Low,Jan-12-2019,2,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 4,Low,Jan-19-2019,3,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 4,Low,Jan-26-2019,4,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 5,Low,Feb-02-2019,5,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 5,Low,Feb-09-2019,6,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 7,Moderate,Feb-16-2019,7,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 6,Moderate,Feb-23-2019,8,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 1,Minimal,Oct-06-2018,40,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 2,Minimal,Oct-13-2018,41,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 3,Minimal,Oct-20-2018,42,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 2,Minimal,Oct-27-2018,43,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 3,Minimal,Nov-03-2018,44,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 3,Minimal,Nov-10-2018,45,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 4,Low,Nov-17-2018,46,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 4,Low,Nov-24-2018,47,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 6,Moderate,Dec-01-2018,48,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 7,Moderate,Dec-08-2018,49,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 10,High,Dec-15-2018,50,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 10,High,Dec-22-2018,51,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 10,High,Dec-29-2018,52,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 10,High,Jan-05-2019,1,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 10,High,Jan-12-2019,2,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 9,High,Jan-19-2019,3,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 9,High,Jan-26-2019,4,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 10,High,Feb-02-2019,5,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 10,High,Feb-09-2019,6,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 10,High,Feb-16-2019,7,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 10,High,Feb-23-2019,8,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 1,Minimal,Oct-06-2018,40,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 1,Minimal,Oct-13-2018,41,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 1,Minimal,Oct-20-2018,42,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 1,Minimal,Oct-27-2018,43,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 1,Minimal,Nov-03-2018,44,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 2,Minimal,Nov-10-2018,45,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 2,Minimal,Nov-17-2018,46,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 1,Minimal,Nov-24-2018,47,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 2,Minimal,Dec-01-2018,48,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 5,Low,Dec-08-2018,49,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 3,Minimal,Dec-15-2018,50,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 5,Low,Dec-22-2018,51,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 6,Moderate,Dec-29-2018,52,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 7,Moderate,Jan-05-2019,1,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 7,Moderate,Jan-12-2019,2,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 8,High,Jan-19-2019,3,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 8,High,Jan-26-2019,4,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 6,Moderate,Feb-02-2019,5,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 7,Moderate,Feb-09-2019,6,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 7,Moderate,Feb-16-2019,7,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 7,Moderate,Feb-23-2019,8,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Oct-06-2018,40,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Oct-13-2018,41,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Oct-20-2018,42,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Oct-27-2018,43,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Nov-03-2018,44,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Nov-10-2018,45,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Nov-17-2018,46,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Nov-24-2018,47,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Dec-01-2018,48,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Dec-08-2018,49,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Dec-15-2018,50,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 2,Minimal,Dec-22-2018,51,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Dec-29-2018,52,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Jan-05-2019,1,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Jan-12-2019,2,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Jan-19-2019,3,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 1,Minimal,Jan-26-2019,4,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 3,Minimal,Feb-02-2019,5,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 5,Low,Feb-09-2019,6,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 5,Low,Feb-16-2019,7,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 5,Low,Feb-23-2019,8,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 2,Minimal,Oct-06-2018,40,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 2,Minimal,Oct-13-2018,41,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 2,Minimal,Oct-20-2018,42,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 1,Minimal,Oct-27-2018,43,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 2,Minimal,Nov-03-2018,44,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 2,Minimal,Nov-10-2018,45,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 3,Minimal,Nov-17-2018,46,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 3,Minimal,Nov-24-2018,47,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 3,Minimal,Dec-01-2018,48,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 4,Low,Dec-08-2018,49,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 4,Low,Dec-15-2018,50,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 5,Low,Dec-22-2018,51,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 5,Low,Dec-29-2018,52,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 4,Low,Jan-05-2019,1,2018-19
District of Columbia,http://doh.dc.gov/page/influenza-season,"""Influenza Information""",Level 4,Low,Jan-12-2019,2,2018-19
